Tus Amigos Nuevos , Viernes
Raras Tocatas Pencas , Me Moje la Raja
Panico , Miss Intoxic Llega a la Disco
Oscar Andrade , Noticiero Cronico
Mawiza , Nunca
MalVivir , Arder
Macha y el Bloque Depresivo , Continentales
Los Vikings 5 , De Coquimbo soy
Los Tetas , Hormigas Planas
Los Mox! , Tabla del Cero
Los Mox! , Me chupo las Bolas
Los Bunkers , Te Vistes y Te Vas
Kudai , Sin Despertar
Kudai , Escapar
Kidd Voodoo , Confortas Pero Dañas (ft. Resonancia Etérea)
Fother Muckers , Aunque todo salio mal
Em 314 , El Templo de Placer
Diego Lorenzini , Poesia Conspirativa
Cristobal , Una Niña Una Historia
Chico Trujillo , Loca
Bonzo , Satania
Barba de Palo , Chiloe
Ataquemos , Tesitura
Ataquemos , Dudi
31 Minutos , Yo Opino
31 Minutos , Yo Nunca vi Television
Lolo , Lala
31 Minutos , Dinosaurio Anacleto
31 Minutos , Bailan sin Cesar
Pettinellis , Ch Ba Puta La Wea
Metalpaws , Hoshiimono ga atte
Los Prisioneros , Por Favor
Kudai , Tu
Glup , Puta Jefe
Noche de Brujas , Oyeme
La Noche , Es el Amor
Grupo Alegria , Mujeres Y Cerveza
Chico Trujillo , La Escoba
Amerika'n Sound , Haciendo el Amor
Tronic , Zigura Roel
Tronic , 20%
Tronic , Titas y Drogas
Tronic , Playboy
Tronic , Picao a Vit
Tronic , Newbie
Tronic , La Granja
Tronic , La Colina
Tronic , Kerido
Tronic , Junior Club
Tronic , Es la Hora de Limpiar la Casa
Tronic , El Fuego
Tronic , El Arrecife
Tronic , Despierta
Tronic , Descartable
Tronic , Cobrador Humano
Tronic , Batibrayan
Tronic , Amazander
Valija Diplomatica , Malas Ondas
Tata Barahona , La mejicana
Sinergia , Todos Me Deben Plata
Sinergia , Te Enojai Por Todo
Sinergia , Jefe
Pettinellis , Un Hombre Muerto En El Ring
Pettinellis , Hospital
Nabu , Donde Vas
Lucybell , Cuando Respiro en Tu Boca
Los Prisioneros , We Are Sudamerican Rockers
Los Prisioneros , Tren al Sur
Los Prisioneros , Quien mato a Marilyn
Los Prisioneros , Por Qué No Se Van
Los Prisioneros , Pa pa pa
Los Prisioneros , Nunca Quedas Mal Con Nadie
Los Prisioneros , Mentalidad Televisiva
Los Prisioneros , Maldito Sudaca
Los prisioneros , La Voz de los 80
Los Prisioneros , Generación de Mierda
Los Peores De Chile , Sindrome Camboya
Los Peores De Chile , Chicholina
Los Mox , Un Beso y una Flor (con Tono)
Los Mox! , Ron Damon
Los Mox , No lo aceptaremox
Los Mox , Lo Cortes no Quita lo Caliente
Los Mox! , Curao Manejo Mejor
Los Mox! , Ataque de caca
Los Miserables , El Crack
Los Jaivas , Mira Niñita
Los hermanos Vargas , En Cañete
Los Bunkers , Mientele
Los Bunkers , Llueve Sobre La Ciudad
Los Bunkers , Infiel
Los Bunkers , Bailando Solo
Los Bunkers , Angel Para Un Final
La Sociedad , Quizas
La Sociedad , Nada quedara
La Rue Morgue , Sigues Dando Vueltas
La Ley , Tejedores de ilusion
La Ley , Mentira
Kudai , Ya Nada Queda
Kudai , Llevame
Kudai , Lejos De La Ciudad
Kudai , Déjame Gritar
Javiera y los imposibles , Respiro
Javiera y los Imposibles , Maldita Primavera
Gufi , Por ella
Gondwana , Sentimiento Original
Fiskales Ad-Hok , Ranchera
Eduardo Gatti , Los Momentos
Chancho en piedra , Historias De Amor Y Condon
Chancho en piedra , Eligiendo Una Reina
Chancho en piedra , El Impostor
Aparato Raro , Calibraciones
Alejandro Silva , Metalhimno
Alejandro Silva , El Lagarto
Al Este , Hay Un Limite
We Are the Grand , Dos (ft. Francisca Valenzuela)
Rene Calderon , El Tiempo en Megavisión
Pettinellis , Anparax
Fiskales Ad-Hok , Viva Santiago
Fernando Ubiergo , Los Ojos de Rodrigo
Diego Lorenzini , Me Voy a Valparaíso (feat. Erlend Øye)
Cristobal Gallardo , A Puro Corazón
Artista Desconocido , Chupame la Pichula-la
Los Bunkers , Quien Fuera
